ORDER ID,TN1 (NSS TN),TN2
2152300-1349,,YT2302821272196776
2098481-1314,,YT2302821272196777
2098481,,YT2302821272196778
#1TS8852,,YT2302821272196779
#1TS13112,,YT2302821272196780
#1TS12364,,YT2302821272196781
2152300-1349-1,,YT2302821272196782
2151708-1349,,YT2302821272196783
2152649-1349,,YT2302821272196784
2150063-1349,,YT2302821272196791
2150063-1349-1,,YT2302821272196788
#1TS9203,,YT2302821272196797
2150113-1349-1,,YT2302821272195955
2136523-1349-1,,YT2302821272195956
2116867-1317,,FJ002747011GB
#1TS8947,,YT2302821272195959
#1TS13252,,4PX3000470843203CN
2149804-1349-2,,YT2302821272202805
2149804-1349,,YT2302821272195961
2091056-1307-1,,YT2302821272195962
#1TS11563,,4PX3000470843227CN
2137747-1349,,YT2302821272195963
#1TS10550,,4PX3000470843210CN
#1TS10307,,YT2302821272195968
#1TS13204,,YT2302821272195969
#1TS10552,,4PX3000470843241CN
2149804-1349-1,,YT2302821272195977
2149759-1349,,YT2302821272195982
2149700-1349,,YT2302821272195972
2136523-1349,,YT2302821272195976
#1TS13214,,4PX3000470843357CN
#1TS11506,,4PX3000470843234CN
#1TS10222,,4PX3000470843395CN
2103458,,YT2302821272195970
#1TS13327,,4PX3000470843272CN
#1TS13257,,4PX3000470843401CN
#1TS13104,,YT2302821272195971
#1TS13060,,4PX3000470843371CN
#1TS10249,,YT2302821272195981
2137747-1349-1,,YT2302821272195989
#1TS13349,,4PX3000470843319CN
2149759-1349-1,,JY231V100131023237
2091056-1307,,YT2302821272195984
1995347-1282,,YT2302821272195983
#1TS8932,,YT2302821272195985
#1TS13377,,4PX3000470843364CN
2149624-1349,,YT2302821272104401
#1TS13345,,YT2302821272104404
#1TS11382,,YT2302821272104411
2149884-1349,,YT2302821272104412
#1TS13264,,4PX3000470594280CN
#1TS13181,,YT2302821272104418
#1TS10264-1,,YT2302821272104421
2150370-1349,,YT2302821272104425
2149978-1349,,YT2302821272104430
2149969-1349,,YT2302821272104432
2150120-1349,,YT2302821272104459
2150098-1349,,YT2302821272104460
2150271-1349,,YT2302821272104470
2150134-1349,,YT2302821272104472
2149808-1349,,YT2302821272104471
2150369-1349,,YT2302821272104468
