Order Id,Tracking Code
2204857-1419,'4PX3000567332214CN
2190104-1419,'4PX3000567331965CN
2204724-1419,'4PX3000567332580CN
2204295-1419,'4PX3000567331743CN
2204594-1419,'4PX3000567331385CN
2204785-1419,'4PX3000567333037CN
2204326-1419,'4PX3000567332597CN
2204375-1419,'4PX3000567332894CN
2204678-1419,'4PX3000567331507CN
2204355-1419,'4PX3000567332061CN
2204399-1419,'4PX3000567332504CN
2204266-1419,'4PX3000567332917CN
2204264-1419,'4PX3000567331408CN
2204440-1419,'4PX3000567333099CN
2204769-1419,'4PX3000567331781CN
2204873-1419,'4PX3000567331637CN
2204856-1419,'4PX3000567332788CN
2204406-1419,'4PX3000567331484CN
2204197-1419,'4PX3000567333266CN
2204422-1419,'4PX3000567331378CN
2204223-1419,'4PX3000567332993CN
2204577-1419,'4PX3000567331446CN
2204405-1419,'4PX3000567333518CN
2204850-1419,'4PX3000567331613CN
2204796-1419,'4PX3000567333259CN
2204434-1419,'4PX3000567332054CN
2204226-1419,'4PX3000567332986CN
2204780-1419,'4PX3000567331354CN
2204457-1419,'4PX3000567332801CN
2204431-1419,'4PX3000567333013CN
2204709-1419,'4PX3000567333174CN
2204668-1419,'4PX3000567331873CN
2204463-1419,'4PX3000567331460CN
2204693-1419,'4PX3000567331576CN
2204401-1419,'4PX3000567333006CN
2204284-1419,'4PX3000567332269CN
2204701-1419,'4PX3000567331422CN
2204699-1419,'4PX3000567333204CN
2204369-1419,'4PX3000567333211CN
2204333-1419,'4PX3000567333617CN
2204410-1419,'4PX3000567333242CN
2204419-1419,'4PX3000567332238CN
2204404-1419,'4PX3000567332955CN
2204310-1419,'4PX3000567333105CN
2204242-1419,'4PX3000567332931CN
2204459-1419,'4PX3000567332122CN
2204755-1419,'4PX3000567333068CN
2204542-1419,'4PX3000567331545CN
2204458-1419,'4PX3000567333570CN
2204263-1419,'4PX3000567332429CN
2204524-1419,'4PX3000567332030CN
2204271-1419,'4PX3000567332849CN
2204787-1419,'4PX3000567332689CN
2204293-1419,'4PX3000567333488CN
2204525-1419,'4PX3000567333433CN
2204512-1419,'4PX3000567332634CN
2204377-1419,'4PX3000567332382CN
2204866-1419,'4PX3000567333495CN
2204281-1419,'4PX3000567333112CN
2204800-1419,'4PX3000567333235CN
2204536-1419,'4PX3000567333464CN
2199024-1419,'4PX3000567333297CN
2204692-1419,'4PX3000567331842CN
2204716-1419,'4PX3000567333426CN
2204394-1419,'4PX3000567332719CN
2196002-1419,'4PX3000567331491CN
div2002,'YT2311721272170229
2204180-1418,'4PX3000566215259CN
2203967-1418,'4PX3000566217758CN
2203935-1418,'4PX3000565975819CN
2196298-1418,'4PX3000565975949CN
2204150-1418,'4PX3000565976366CN
2203963-1418,'4PX3000565975390CN
2204102-1418,'4PX3000565976533CN
2203973-1418,'4PX3000565976250CN
2203992-1418,'4PX3000565976199CN
2204156-1418,'4PX3000565976021CN
2204041-1418,'4PX3000565976076CN
2203915-1418,'4PX3000565976526CN
2204034-1418,'4PX3000565975468CN
2193199-1418,'4PX3000565975574CN
2204126-1418,'4PX3000565976519CN
2199170-1418,'4PX3000565975963CN
2193622-1418,'4PX3000565976458CN
2197104-1418,'06215167326475
2204189-1418,'06086316854406
106567,'4PX3000565976496CN
2204089-1418,'4PX3000565976397CN
2203942-1418,'H00S0A0037420736
div2001,'YT2311721272170307
2203844-1417,'00794210305229807038
106575,'4PX3000565975475CN
2203662-1417,'4PX3000565236538CN
2203964-1418,'4PX3000565975772CN
2203893-1418,'4PX3000565975161CN
2204056-1418,'4PX3000565975154CN
2190028-1418,'4PX3000565975710CN
2204007-1418,'4PX3000565976212CN
2204002-1418,'4PX3000565976168CN
2203872-1418,'4PX3000565976373CN
2204077-1418,'4PX3000565975925CN
2204000-1418,'4PX3000565976007CN
2204099-1418,'4PX3000565975246CN
2204111-1418,'4PX3000565976342CN
106570,'4PX3000565975529CN
106571,'H00S0A0037420609
2204125-1418,'4PX3000565975840CN
2203998-1418,'4PX3000565976434CN
106582,'4PX3000565975727CN
2203968-1418,'4PX3000565976052CN
2188580-1418,'4PX3000565975918CN
2204162-1418,'4PX3000565976304CN
2203947-1418,'CC24400001115411S
2203104-1418,'4PX3000565976281CN
2197570-1418,'4PX3000565976403CN
2192614-1418,'4PX3000565975567CN
2199711-1418,'H00S0A0037420584
2203869-1418,'4PX3000565975864CN
2204058-1418,'4PX3000565976151CN
2082958-1305,'YT2311621272184681
106497,'4PX3000564143035CN
2203207-1416,'4PX3000564140430CN
2202876-1415,'4PX3000564143851CN
2203525-1416,'4PX3000564139960CN
2195520-1403,'YT2311621272184887
2203454-1416,'7321315112872414
106516,'4PX3000563466364CN
2203475-1416,'4PX3000563465725CN
2155849-1416,'H00S0A0037162079
106493,'4PX3000563464803CN
2198903-1416,'4PX3000563462915CN
106473,'4PX3000563464728CN
2203130-1416,'4PX3000563469266CN
2193917-1416,'4PX3000563471900CN
2202988-1416,'4PX3000563465336CN
106478,'06215167325094
2203136-1416,'4PX3000563467408CN
2203461-1416,'4PX3000563471979CN
2203358-1416,'4PX3000563469624CN
106487,'4PX3000563468764CN
2185732-1416,'4PX3000563471276CN
2203340-1416,'4PX3000563471832CN
2193760-1416,'4PX3000563469051CN
2203151-1416,'4PX3000563469846CN
2202947-1416,'4PX3000563468108CN
2203016-1416,'4PX3000563464537CN
2203106-1416,'4PX3000563469839CN
2203310-1416,'4PX3000563464483CN
2203121-1416,'4PX3000563470675CN
2203088-1416,'4PX3000563471566CN
2203117-1416,'4PX3000563469990CN
2190065-1416,'4PX3000563470057CN
2203472-1416,'4PX3000563470132CN
2203059-1416,'4PX3000563469433CN
2203093-1416,'4PX3000563464346CN
2203017-1416,'4PX3000563469297CN
2203237-1416,'4PX3000563469570CN
2203329-1416,'4PX3000563471511CN
2203236-1416,'4PX3000563465503CN
2203354-1416,'4PX3000563471078CN
2203353-1416,'4PX3000563468016CN
2203268-1416,'4PX3000563466753CN
2203025-1416,'4PX3000563469877CN
2203269-1416,'4PX3000563462908CN
2203153-1416,'4PX3000563466487CN
2203474-1416,'4PX3000563463936CN
2203192-1416,'4PX3000563466418CN
2203137-1416,'4PX3000563469594CN
106486,'4PX3000563464995CN
106498,'4PX3000563469181CN
2203537-1416,'H00S0A0037161825
2203227-1416,'4PX3000563469365CN
2194948-1416,'4PX3000563468375CN
106500,'4PX3000563468177CN
106481,'4PX3000563470408CN
106490,'4PX3000563471757CN
106502,'4PX3000563471726CN
106479,'H00S0A0037162512
106485,'H00S0A0037162500
2203531-1416,'H00S0A0037162548
106509,'4PX3000563468658CN
2203326-1416,'4PX3000563470668CN
2202984-1416,'4PX3000563472143CN
2203421-1416,'4PX3000563464735CN
2203254-1416,'4PX3000563469013CN
2202933-1416,'4PX3000563465718CN
2203201-1416,'4PX3000563469938CN
2203057-1416,'4PX3000563472051CN
2203384-1416,'4PX3000563464568CN
106499,'H00S0A0037162055
2188990-1416,'4PX3000563470804CN
2203084-1416,'4PX3000563472006CN
2203015-1416,'4PX3000563464476CN
2203154-1416,'4PX3000563466210CN
2203438-1416,'4PX3000563471191CN
2189758-1416,'4PX3000563462823CN
2203162-1416,'4PX3000563470156CN
106474,'4PX3000563464988CN
2196631-1416,'4PX3000563470859CN
2203342-1416,'4PX3000563470026CN
2203285-1416,'4PX3000563463486CN
2203067-1416,'4PX3000563471665CN
2176564-1416,'4PX3000563466234CN
2203413-1416,'4PX3000563471160CN
2203386-1416,'4PX3000563469747CN
2203092-1416,'4PX3000563467675CN
2203396-1416,'4PX3000563468788CN
2203453-1416,'4PX3000563467002CN
2203369-1416,'4PX3000563464391CN
2203446-1416,'4PX3000563470651CN
2203536-1416,'4PX3000563464667CN
2203193-1416,'4PX3000563470286CN
2162267-1416,'4PX3000563468672CN
2202932-1416,'4PX3000563471498CN
2203044-1416,'4PX3000563467194CN
2203202-1416,'4PX3000563465008CN
2203232-1416,'4PX3000563464353CN
2203381-1416,'4PX3000563466715CN
2203240-1416,'4PX3000563464599CN
2203417-1416,'4PX3000563471504CN
2203197-1416,'4PX3000563465411CN
2203327-1416,'4PX3000563471221CN
2202955-1416,'4PX3000563468504CN
2203409-1416,'4PX3000563468290CN
2203239-1416,'4PX3000563469778CN
2203322-1416,'4PX3000563466425CN
2203076-1416,'4PX3000563469495CN
106505,'4PX3000563471214CN
2203298-1416,'4PX3000563463127CN
2202948-1416,'4PX3000563468931CN
2203433-1416,'4PX3000563464858CN
2203172-1416,'4PX3000563465435CN
2203175-1416,'4PX3000563469259CN
2203224-1416,'4PX3000563464957CN
2203148-1416,'4PX3000563468009CN
2203120-1416,'4PX3000563469952CN
2202978-1416,'4PX3000563470576CN
2194101-1416,'4PX3000563464421CN
2203412-1416,'4PX3000563468238CN
2202934-1416,'4PX3000563471535CN
2203182-1416,'4PX3000563469198CN
2203205-1416,'4PX3000563469716CN
2202972-1416,'4PX3000563470491CN
2203007-1416,'4PX3000563468887CN
2202985-1416,'4PX3000563467392CN
2203014-1416,'4PX3000563465572CN
2203032-1416,'4PX3000563471818CN
2203247-1416,'4PX3000563465886CN
2203482-1416,'4PX3000563463172CN
2202944-1416,'4PX3000563471337CN
2203126-1416,'4PX3000563469693CN
2203204-1416,'4PX3000563469112CN
106412,'4PX3000562926500CN
2187185-1393,'7321315112310596
2200049-1410,'4PX3000561713507CN
2188494-1410,'7321315111734324
2199465-1409,'1ZA8003V0490298188
2174059-1378,'YT2311521272164990
2201063-1413,'WNBAA0235867775YQ
2174135-1378,'4PX3000561693212CN
2201747-1414,'00794210305229618757
2201122-1413,'4PX3000561596414CN
2201169-1413,'4PX3000561653414CN
2199746-1410,'4PX3000561710025CN
2176512-1,'4PX3000561594915CN
2167917-1,'4PX3000561605772CN
2167884-1,'4PX3000561685521CN
2179332-1,'4PX3000561606373CN
2199899-1410,'4PX3000561703133CN
2201404-1413,'4PX3000561604171CN
2200408-1411,'4PX3000561696589CN
2199694-1410,'4PX3000561711145CN
2145482-1341,'4PX3000561694479CN
2174341-1,'4PX3000561598746CN
2202102-1414,'4PX3000561590863CN
2201092-1413,'4PX3000561603167CN
2197315-1407,'4PX3000561700859CN
2174133-1408,'4PX3000561698071CN
2172014-1,'4PX3000561654435CN
2200500-1411,'7321315111731668
106116,'4PX3000561701566CN
106120,'4PX3000561705052CN
2201078-1413,'4PX3000561607103CN
2166740-1412,'4PX3000561689123CN
2202200-1414,'4PX3000561589454CN
2202116-1414,'4PX3000561551796CN
2198379-1408,'YT2310721272302400
2201301-1413,'4PX3000559002415CN
2201062-1413,'4PX3000559004310CN
2201430-1413,'4PX3000559004747CN
2190778-1413,'4PX3000559004570CN
2201070-1413,'4PX3000559004242CN
2177960,'H00S0A0036709713
2201096-1413,'4PX3000559003597CN
2182945-1,'H00S0A0036709600
2201387-1413,'4PX3000559004563CN
2198885-1,'3H0001651337
2201466-1413,'4PX3000559002767CN
2201179-1413,'4PX3000559002781CN
2176001-1,'H00S0A0036709369
2201149-1413,'4PX3000559004679CN
2201135-1413,'4PX3000559004259CN
2201342-1413,'4PX3000559002545CN
2201186-1413,'4PX3000559004631CN
2185161-1,'H00S0A0036709408
2183854-1,'H00S0A0036709268
2201051-1413,'06215167322306
2201458-1413,'4PX3000559002040CN
2201157-1413,'4PX3000559003016CN
2185386,'06086316825379
2201281-1413,'4PX3000559003627CN
2168997-1,'H00S0A0036709244
2179531-1,'H00S0A0036708800
2178003-1,'4PX3000559002644CN
2169149-1,'4PX3000559003504CN
2201378-1413,'9975855492
2172520-1,'H00S0A0036709496
2180677-1,'H00S0A0036709422
2201158-1413,'4PX3000559003856CN
2183669-1,'4PX3000559002941CN
2168677-1,'4PX3000559003481CN
2177715-1,'4PX3000559005072CN
2184455-1,'H00S0A0036709698
2177157-1,'4PX3000559004167CN
2176186-1,'4PX3000559004174CN
2184888-1,'4PX3000559003948CN
2184523-1,'4PX3000559004983CN
2185055-1,'4PX3000559004389CN
2180688-1,'4PX3000559002859CN
2171706-1,'4PX3000559004464CN
2174813-1,'4PX3000559004693CN
2183698-1,'4PX3000559004488CN
2183929-1,'4PX3000559002378CN
2174422-1,'4PX3000559004792CN
2169662-1,'4PX3000559004822CN
2169643-1,'4PX3000559004334CN
2183581-1,'4PX3000559002620CN
2178659-1,'4PX3000559004877CN
2177159-1,'4PX3000559004808CN
2184219-1,'4PX3000559005102CN
2180676-1,'H00S0A0036709890
2183856-1,'H00S0A0036709585
2178843-1,'4PX3000559005089CN
2201105-1413,'4PX3000559005164CN
2178879-1,'4PX3000559005041CN
2201210-1413,'4PX3000559004594CN
2201316-1413,'4PX3000559003221CN
2201499-1413,'4PX3000559004662CN
2148088-1,'FJ003730366GB
2201454-1413,'4PX3000559002088CN
2201194-1413,'4PX3000559002668CN
2191920-1413,'4PX3000559004082CN
2191720-1413,'4PX3000559003818CN
2190775-1413,'4PX3000559005058CN
2201237-1413,'4PX3000559004273CN
2196092-1413,'4PX3000559002606CN
2201211-1413,'4PX3000559003993CN
divph001,'YT2311121266048878
2201081-1413,'4PX3000559002514CN
2176340-1381,'4PX3000559004303CN
2201046-1413,'4PX3000559004129CN
2201462-1413,'4PX3000559002835CN
2201429-1413,'4PX3000559004068CN
2201226-1413,'4PX3000559003740CN
2201071-1413,'4PX3000559002354CN
2201246-1413,'4PX3000559004754CN
2142899-1413,'4PX3000559003726CN
2201085-1413,'4PX3000559004136CN
2195209-1413,'4PX3000559004495CN
2197611-1413,'4PX3000559004921CN
2201199-1413,'4PX3000559003450CN
2201313-1413,'4PX3000559003825CN
2192965-1413,'4PX3000559004013CN
2201057-1413,'4PX3000559004051CN
2201030-1413,'4PX3000559002729CN
2201121-1413,'06215167322310
2201216-1413,'06215167322308
2201050-1413,'06215167322309
2201242-1413,'4PX3000559002842CN
2201143-1413,'4PX3000559003375CN
2201260-1413,'4PX3000559004044CN
2201327-1413,'4PX3000559004891CN
2201120-1413,'4PX3000559003795CN
2201256-1413,'4PX3000559004204CN
2201413-1413,'4PX3000559003368CN
2201098-1413,'4PX3000559004587CN
2201287-1413,'4PX3000559004648CN
2201296-1413,'4PX3000559003986CN
2201177-1413,'4PX3000559005096CN
2201234-1413,'4PX3000559004617CN
2201109-1413,'4PX3000559002750CN
2201314-1413,'4PX3000559004624CN
2193608-1413,'4PX3000559005010CN
2201258-1413,'4PX3000559003962CN
2201165-1413,'4PX3000559005133CN
2196895-1,'06215167322307
2196876-1,'06086316825377
2198024-1,'06086316825378
2201275-1413,'4PX3000559003788CN
2196890-1,'06086316825375
2201259-1413,'4PX3000559004839CN
2188753-1413,'4PX3000559004198CN
2201061-1413,'4PX3000559004709CN
2184367-1389,'WNBAA0235296527YQ
2198967-1408,'YT2310821272065076
105772,'7321315108026029
2178238-1407,'WNBAA0234825301YQ
2156387-1355,'YT2310721272267566
2198750-1408,'JY234H100131075914
2198821-1408,'3H0001646161
2197407-1407,'WNBAA0234825329YQ
2199083-1408,'00794210305229369307
2183582-1387,'WNBAA0234824327YQ
105722,'YT2310721272302992
2198886-1408,'JY234H100131076087
105894,'H00S0A0036142761
2197357-1407,'H00S0A0036140248
2197452-1407,'H00S0A0036141416
105909,'H00S0A0036142660
105775,'YT2310321272165421
2196821-1405,'YT2310321272164767
2195538-1403,'06086316780184
104494,'WNBAA0231212325YQ
104604,'WNBAA0231212286YQ
104600,'WNBAA0231212139YQ
104443,'WNBAA0231212299YQ
104500,'WNBAA0231212314YQ
104541,'WNBAA0231212343YQ
104555,'WNBAA0231212324YQ
104447,'WNBAA0231212346YQ
104509,'WNBAA0231212338YQ
104607,'WNBAA0231212356YQ
104605,'WNBAA0231212345YQ
104452,'WNBAA0231212131YQ
104526,'WNBAA0231212300YQ
104433,'WNBAA0231212366YQ
104551,'WNBAA0231212341YQ
104591,'WNBAA0231212150YQ
104403,'WNBAA0231212349YQ
104399,'WNBAA0231212316YQ
104473,'WNBAA0231212322YQ
104480,'WNBAA0231212143YQ
104414,'WNBAA0231212335YQ
104590,'WNBAA0231212350YQ
104585,'WNBAA0231212330YQ
104477,'WNBAA0231212351YQ
104583,'WNBAA0231212138YQ
104405,'WNBAA0231212331YQ
104456,'WNBAA0231212329YQ
2174166-1378,'YT2310221272179751
1443908-1365,'MP0019256559
2158893-1360,'BN4103066829
2163838-1369,'YT2310121272174912
104728,'YT2310121272135277
104631,'YT2310121272135368
104474,'YT2310121272135278
104633,'YT2310121272135274
104603,'YT2310121272135325
104791,'YT2310121272135247
104798,'YT2310121272135361
104669,'YT2310121272135367
104814,'YT2310121272135253
104714,'YT2310121272137145
104802,'YT2310121272135271
104508,'YT2310121272135370
104683,'YT2310121272135330
104736,'YT2310121272135362
104710,'YT2310121272135263
104725,'YT2310121272135348
104799,'YT2310121272135299
104737,'YT2310121272135345
104781,'YT2310121272135270
104732,'YT2310121272135323
104696,'YT2310121272135250
104826,'YT2310121272135255
2194767-1402,'YT2310021272225567
2115429-1,'396735819590
2151641-1349,'YT2309621272139153
2182929-1386,'WNBAA0233272933YQ
2188656-1397,'YT2309621272140056
#1TS13934-2,'YT2309121272046419
104472,'YT2309021272073993
2156958-1356,'06215167306387
2147037-1360,'JY233V900131058312
2175144-1385,'1ZA8003V0491207854
104513,'WNBAA0231519028YQ
2181725-1386,'WNBAA0231519303YQ
104614,'YT2308021272166477
104514,'JY233M900131054001
104506,'YT2308021272166769
104419,'YT2308021272166745
104394,'YT2308021272166626
104426,'YT2308021272166486
104584,'WNBAA0231212328YQ
104518,'YT2308021272166673
104516,'H00S0A0032898679
104525,'YT2308021272166719
104571,'JY233M900131053997
104592,'JY233M100131053986
104507,'YT2308021272166392
104566,'YT2308021272166659
2169183,'YT2308021272179583
104457,'YT2308021272166443
104542,'H00S0A0032898605
104610,'JY233M100131054000
104587,'JY233M100131054011
104569,'YT2308021272166734
104546,'YT2308021272166691
104504,'YT2308021272166723
104593,'YT2308021272166747
104495,'YT2308021272166807
104423,'YT2308021272166585
104431,'YT2308021272166744
104393,'YT2308021272166685
104406,'YT2308021272166564
104521,'JY233M100131054006
104487,'YT2308021272166508
104410,'YT2308021272166345
104536,'YT2308021272166707
104451,'YT2308021272166743
104490,'H00S0A0032898681
104552,'YT2308021272166705
104572,'YT2308021272166733
104519,'00794210305228365645
104492,'2012559536320285
104464,'YT2308021221006252
104415,'YT2308021272166738
104390,'YT2308021272166663
104609,'YT2308021272166607
104535,'YT2308021272166684
104435,'YT2308021272166538
104586,'JY233M100131054005
104462,'YT2308021272166552
104402,'H00S0A0032898580
104497,'YT2308021266055080
104460,'YT2308021272166224
104465,'WNBAA0231212285YQ
104436,'WNBAA0231212252YQ
104501,'YT2308021272166186
104428,'YT2308021272166255
104598,'YT2308021272166225
104413,'WNBAA0231212255YQ
104484,'YT2308021272166237
104400,'YT2308021272166187
104483,'YT2308021272166201
104467,'YT2308021272166402
104545,'YT2308021272166231
104441,'YT2308021272166133
104463,'YT2308021272166274
104478,'YT2308021272166432
104579,'YT2308021272166368
104537,'JY233M900131053983
104529,'JY233M900131053995
104549,'YT2308021272166445
104471,'YT2308021272166536
104565,'YT2308021272166483
104493,'YT2308021272166204
104450,'YT2308021272166166
104557,'WNBAA0231212281YQ
104430,'WNBAA0231212260YQ
104539,'H00S0A0032898667
104489,'H00S0A0032898427
104469,'YT2308021272166480
104613,'YT2308021272166241
104608,'WNBAA0231212137YQ
104581,'LS315568065CH
104502,'WNBAA0231212269YQ
104482,'YT2308021272166188
104458,'YT2308021272166363
104527,'YT2308021272166226
104560,'H00S0A0032898655
104530,'YT2308021272166269
104553,'YT2308021272166509
104511,'WNBAA0231212268YQ
104606,'WNBAA0231212265YQ
104476,'YT2308021272166530
104595,'YT2308021272166249
104468,'WNBAA0231212292YQ
104534,'YT2308021272166169
104510,'JY233M100131053987
104408,'YT2308021272166425
104481,'WNBAA0231212294YQ
104486,'YT2308021272166164
104491,'H00S0A0032898592
104550,'WNBAA0231212297YQ
104573,'WNBAA0231212263YQ
104562,'WNBAA0231212266YQ
104498,'WNBAA0231212308YQ
104461,'WNBAA0231212283YQ
104427,'WNBAA0231212315YQ
104446,'WNBAA0231212280YQ
104596,'YT2308021272166306
104396,'YT2308021272166161
104429,'WNBAA0231212132YQ
104455,'WNBAA0231212134YQ
104564,'JY233M900131053982
104538,'YT2308021272166334
104432,'YT2308021272166217
104440,'YT2308021272166304
104389,'YT2308021272166579
104425,'YT2308021272166442
104582,'H00S0A0032898578
104611,'YT2308021272166128
2176381-1381,'YT2307421272000552
2177961-1381,'YT2307421272000356
2177477-1381,'YT2307421272000881
2174243-1378,'WNBAA0230194138YQ
2158823-1360,'WNBAA0230030308YQ
2173794-1377,'WNBAA0230028159YQ
2127919-1-1352,'YT2307221272299834
2127918-1-1352,'YT2307221272299660
2162447-1380,'H00S0A0031415880
2175385-1380,'H00S0A0031415032
2148009-1380,'7321315090101407
#1TS3843-2,'CA001014434WB
2175144-1379,'1ZA8003V0491897378
2172315-1376,'YT2306921272205778
2175040-1379,'WNBAA0229563488YQ
2174332-1378,'7321315088347503
103859,'YT2306821272093793
2173977-1378,'WNBAA0229345526YQ
2174433-1378,'WNBAA0229349894YQ
2159096-1360,'7321315088124593
103679,'4PX3000513820161CN
2159700-1361,'YT2306621272169257
2165211-1371,'YT2306721272008424
2163803-1369,'WNBAA0229135581YQ
2167676-1374,'WNBAA0229134300YQ
2164444-1371,'YT2306721272008118
2164496-1371,'YT2306721272008125
2160844-1371,'YT2306721272007957
